,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,description,steam_appid
1058,1058.0,1058.0,1.0,,,49,PvP,1870540
1059,1059.0,1059.0,2.0,,,36,Online PvP,1870540
1060,1060.0,1060.0,3.0,,,27,Cross-Platform Multiplayer,1870540
1061,1061.0,1061.0,4.0,,,21,Downloadable Content,1870540
1062,1062.0,1062.0,5.0,,,22,Steam Achievements,1870540
1063,1063.0,1063.0,6.0,,,18,Partial Controller Support,1870540
1064,1064.0,1064.0,0.0,,,2,Single-player,1870550
1065,1065.0,1065.0,1.0,,,22,Steam Achievements,1870550
1066,1066.0,1066.0,2.0,,,28,Full controller support,1870550
1067,1067.0,1067.0,3.0,,,15,Stats,1870550
1068,1068.0,1068.0,0.0,,,2,Single-player,1870570
1069,1069.0,1069.0,0.0,,,2,Single-player,1870580
1070,1070.0,1070.0,1.0,,,22,Steam Achievements,1870580
1071,1071.0,1071.0,0.0,,,1,Multi-player,1870600
1072,1072.0,1072.0,1.0,,,49,PvP,1870600
1073,1073.0,1073.0,2.0,,,36,Online PvP,1870600
1074,1074.0,1074.0,3.0,,,9,Co-op,1870600
1075,1075.0,1075.0,4.0,,,38,Online Co-op,1870600
1076,1076.0,1076.0,5.0,,,27,Cross-Platform Multiplayer,1870600
1077,1077.0,1077.0,6.0,,,21,Downloadable Content,1870600
1078,1078.0,1078.0,7.0,,,22,Steam Achievements,1870600
1079,1079.0,1079.0,8.0,,,28,Full controller support,1870600
1080,1080.0,1080.0,9.0,,,35,In-App Purchases,1870600
1081,1081.0,1081.0,0.0,,,2,Single-player,1870610
1082,1082.0,1082.0,1.0,,,22,Steam Achievements,1870610
1083,1083.0,1083.0,2.0,,,18,Partial Controller Support,1870610
1084,1084.0,1084.0,0.0,,,2,Single-player,1870640
1085,1085.0,1085.0,1.0,,,10,Game demo,1870640
1086,1086.0,1086.0,2.0,,,28,Full controller support,1870640
1087,1087.0,1087.0,0.0,,,2,Single-player,1870660
1088,1088.0,1088.0,1.0,,,1,Multi-player,1870660
1089,1089.0,1089.0,2.0,,,9,Co-op,1870660
1090,1090.0,1090.0,3.0,,,39,Shared/Split Screen Co-op,1870660
1091,1091.0,1091.0,4.0,,,24,Shared/Split Screen,1870660
1092,1092.0,1092.0,5.0,,,44,Remote Play Together,1870660
1093,1093.0,1093.0,0.0,,,2,Single-player,1870680
1094,1094.0,1094.0,1.0,,,1,Multi-player,1870680
1095,1095.0,1095.0,2.0,,,9,Co-op,1870680
1096,1096.0,1096.0,3.0,,,39,Shared/Split Screen Co-op,1870680
1097,1097.0,1097.0,4.0,,,24,Shared/Split Screen,1870680
1098,1098.0,1098.0,5.0,,,10,Game demo,1870680
1099,1099.0,1099.0,6.0,,,44,Remote Play Together,1870680
1100,1100.0,1100.0,0.0,,,2,Single-player,1870690
1101,1101.0,1101.0,1.0,,,1,Multi-player,1870690
1102,1102.0,1102.0,2.0,,,9,Co-op,1870690
1103,1103.0,1103.0,3.0,,,38,Online Co-op,1870690
1104,1104.0,1104.0,4.0,,,48,LAN Co-op,1870690
1105,1105.0,1105.0,5.0,,,39,Shared/Split Screen Co-op,1870690
1106,1106.0,1106.0,6.0,,,24,Shared/Split Screen,1870690
1107,1107.0,1107.0,7.0,,,27,Cross-Platform Multiplayer,1870690
1108,1108.0,1108.0,8.0,,,21,Downloadable Content,1870690
1109,1109.0,1109.0,9.0,,,18,Partial Controller Support,1870690
1110,1110.0,1110.0,0.0,,,2,Single-player,1870710
1111,1111.0,1111.0,1.0,,,22,Steam Achievements,1870710
1112,1112.0,1112.0,2.0,,,28,Full controller support,1870710
1113,1113.0,1113.0,0.0,,,2,Single-player,1870720
1114,1114.0,1114.0,1.0,,,10,Game demo,1870720
1115,1115.0,1115.0,0.0,,,2,Single-player,1870740
