,steam_appid,name,title,description,selection_text,save_text,display_type,is_recurring_subscription,subs
0,611500,platinum,Buy Platinum,"Click <a href=""https://store.steampowered.com/app/682890/"" target=""_blank"" rel=""noreferrer""  >HERE</a> for more information.",Select a purchase option,,1,false,"[{'packageid': 195124, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Quake Champions - 500 Platinum - 4,99€', 'option_description': 'Click <a href=""https://store.steampowered.com/app/682890/"" target=""_blank"" rel=""noreferrer""  >HERE</a> for more information.', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 499}, {'packageid': 195125, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Quake Champions - 1100 Platinum - 9,99€', 'option_description': 'Click <a href=""https://store.steampowered.com/app/682890/"" target=""_blank"" rel=""noreferrer""  >HERE</a> for more information.', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 999}, {'packageid': 195126, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Quake Champions - 2400 Platinum - 19,99€', 'option_description': 'Click <a href=""https://store.steampowered.com/app/682890/"" target=""_blank"" rel=""noreferrer""  >HERE</a> for more information.', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1999}, {'packageid': 195127, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Quake Champions - 5000 Platinum - 39,99€', 'option_description': 'Click <a href=""https://store.steampowered.com/app/682890/"" target=""_blank"" rel=""noreferrer""  >HERE</a> for more information.', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 3999}]"
0,611550,default,Buy Underground Keeper 2,,Select a purchase option,,0,false,"[{'packageid': 163562, 'percent_savings_text': '-75% ', 'percent_savings': 0, 'option_text': 'Underground Keeper 2 - <span class=""discount_original_price"">8,19€</span> 2,04€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 204}]"
0,611220,default,Buy Crimson Hills,,Select a purchase option,,0,false,"[{'packageid': 227041, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Crimson Hills - Commercial License - 19,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1999}]"
0,611230,default,Buy Heathen - The sons of the law,,Select a purchase option,,0,false,"[{'packageid': 163311, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Heathen Ep1 - The sons of the law - 14,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1499}]"
0,611250,default,Buy Fantasy Grounds - 0one's Colorprints #4: Bridge Gatehouse (Map Pack),,Select a purchase option,,0,false,"[{'packageid': 163317, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': ""Fantasy Grounds - 0one's Colorprints #4: Bridge Gatehouse (Map Pack) - 3,99€"", 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]"
0,611270,default,Buy Fantasy Grounds - Mini-Dungeon #029: Heart of the Sacred Dawn (PFRPG),,Select a purchase option,,0,false,"[{'packageid': 163325, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Fantasy Grounds - Mini-Dungeon #029: Heart of the Sacred Dawn (PFRPG) - 2,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 299}]"
0,611310,default,Buy Fantasy Grounds - Mini-Dungeon #030: The Burning Tree of Coilltean Grove (PFRPG),,Select a purchase option,,0,false,"[{'packageid': 163337, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Fantasy Grounds - Mini-Dungeon #030: The Burning Tree of Coilltean Grove (PFRPG) - 2,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 299}]"
0,611320,default,Buy Think To Die 3,,Select a purchase option,,0,false,"[{'packageid': 163340, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Think To Die 3 - 4,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 499}]"
0,611350,default,Buy Evil Tag,,Select a purchase option,,0,false,"[{'packageid': 163352, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Evil Tag - 0,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 79}]"
0,611370,default,Buy Tyranny - Portrait Pack,,Select a purchase option,,0,false,"[{'packageid': 163358, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Tyranny - Portrait Pack - 3,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]"
